,Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
50,15,4.0,20,40.63,2,8,16.3869,2.95,380.17400000000004,380.44599999999997,10.597999999999999,20.1422,0.0,-9.2571,-1.47446,9.33968,0.13531700000000002,-7.01019,26.4021,14.5267,17,19444.0,9.0,26.0357,0.8888889999999999,675.597,365.653,313.39599999999996,74,73,10.4225
51,25,4.0,20,40.63,2,8,16.3869,2.95,380.17400000000004,380.44599999999997,10.597999999999999,20.1422,0.0,-9.2571,-1.47446,9.33968,0.13531700000000002,-7.01019,26.4021,14.5267,17,19444.0,9.0,26.0357,0.8888889999999999,675.597,365.653,313.39599999999996,74,73,7.5308333329999995
56,20,3.0,15,40.63,2,8,16.3869,2.95,380.17400000000004,380.44599999999997,10.597999999999999,20.1422,0.0,-9.2571,-1.47446,9.33968,0.13531700000000002,-7.01019,26.4021,14.5267,17,19444.0,9.0,26.0357,0.8888889999999999,675.597,365.653,313.39599999999996,74,73,11.08916667
57,20,4.0,15,40.63,2,8,16.3869,2.95,380.17400000000004,380.44599999999997,10.597999999999999,20.1422,0.0,-9.2571,-1.47446,9.33968,0.13531700000000002,-7.01019,26.4021,14.5267,17,19444.0,9.0,26.0357,0.8888889999999999,675.597,365.653,313.39599999999996,74,73,9.2725
58,20,3.0,25,40.63,2,8,16.3869,2.95,380.17400000000004,380.44599999999997,10.597999999999999,20.1422,0.0,-9.2571,-1.47446,9.33968,0.13531700000000002,-7.01019,26.4021,14.5267,17,19444.0,9.0,26.0357,0.8888889999999999,675.597,365.653,313.39599999999996,74,73,6.105833333
59,20,4.0,25,40.63,2,8,16.3869,2.95,380.17400000000004,380.44599999999997,10.597999999999999,20.1422,0.0,-9.2571,-1.47446,9.33968,0.13531700000000002,-7.01019,26.4021,14.5267,17,19444.0,9.0,26.0357,0.8888889999999999,675.597,365.653,313.39599999999996,74,73,6.144166667
64,15,3.0,20,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,8.544166667
65,25,3.0,20,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,5.714166667000001
66,15,4.0,20,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,8.460833333
67,25,4.0,20,26.19,1,4,8.2226,2.52,253.08700000000002,253.73,6.8067,10.3333,0.0,-4.756419999999999,-1.14038,5.36466,-0.0096,-3.5784199999999995,14.8652,8.65212,11,4174.0,6.0,15.0588,0.833333,481.525,248.954,208.90099999999998,47,46,5.7191666670000005
