Brij,pH,acetonitril,pol,H-don,H-acc,H,logP,Mass,MW,MR,Eb,Ecd,Ed,Non-1.4 VDW E,Stretch E,Stretch Bend E,Torsion E (Et),Total Energy (E),"VDW 1,4 Energy",Diam,Tindex,Rad,ShpA,ShpC,SAS,Marea,SEV,LUMO,HOMO,k
20,3,15,16.93,2,4,10.8935,1.28,163.063,163.177,4.4601,6.88933,0,-4.62194,-1.87915,4.17513,-8.67E-02,-3.58265,2.6692,1.77516,6,1387,3,10.0833,1,323.332,155.157,123.631,32,31,1.2525
20,4,15,16.93,2,4,10.8935,1.28,163.063,163.177,4.4601,6.88933,0,-4.62194,-1.87915,4.17513,-8.67E-02,-3.58265,2.6692,1.77516,6,1387,3,10.0833,1,323.332,155.157,123.631,32,31,1.25
20,3,25,16.93,2,4,10.8935,1.28,163.063,163.177,4.4601,6.88933,0,-4.62194,-1.87915,4.17513,-8.67E-02,-3.58265,2.6692,1.77516,6,1387,3,10.0833,1,323.332,155.157,123.631,32,31,0.669166667
20,4,25,16.93,2,4,10.8935,1.28,163.063,163.177,4.4601,6.88933,0,-4.62194,-1.87915,4.17513,-8.67E-02,-3.58265,2.6692,1.77516,6,1387,3,10.0833,1,323.332,155.157,123.631,32,31,0.666666667
20,3.5,20,16.93,2,4,10.8935,1.28,163.063,163.177,4.4601,6.88933,0,-4.62194,-1.87915,4.17513,-8.67E-02,-3.58265,2.6692,1.77516,6,1387,3,10.0833,1,323.332,155.157,123.631,32,31,0.91
20,3.5,20,16.93,2,4,10.8935,1.28,163.063,163.177,4.4601,6.88933,0,-4.62194,-1.87915,4.17513,-8.67E-02,-3.58265,2.6692,1.77516,6,1387,3,10.0833,1,323.332,155.157,123.631,32,31,0.8975
20,3.5,20,16.93,2,4,10.8935,1.28,163.063,163.177,4.4601,6.88933,0,-4.62194,-1.87915,4.17513,-8.67E-02,-3.58265,2.6692,1.77516,6,1387,3,10.0833,1,323.332,155.157,123.631,32,31,0.891666667
20,3.5,20,16.93,2,4,10.8935,1.28,163.063,163.177,4.4601,6.88933,0,-4.62194,-1.87915,4.17513,-8.67E-02,-3.58265,2.6692,1.77516,6,1387,3,10.0833,1,323.332,155.157,123.631,32,31,0.891666667
15,3,20,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.144166667
25,3,20,23.36,2,1,4.2792,2.79,231.046,232.133,5.9979,7.57237,-2.55711,2.97571,-0.959167,2.1989,-0.120195,14.2541,32.9987,9.63412,7,2120,4,12.0714,0.75,396.463,204.063,180.717,40,39,1.064166667
